Year,Basin,Location,Month,Min,Mean,Max,Type,Lat,Long,Notes
2018,White-Hat,Chadron Creek (Above Discharge),September,NA,NA,NA,Coolwater,42.70919,-103.0097,
2018,White-Hat,Chadron Creek (Above Discharge),October,NA,NA,NA,Coolwater,42.70919,-103.0097,
2018,White-Hat,Chadron Creek (Above Discharge),November,NA,NA,NA,Coolwater,42.70919,-103.0097,
2018,White-Hat,Chadron Creek (Above Discharge),December,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),January,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),February,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),March,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),April,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),May,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),June,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),July,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),August,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),September,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),October,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),November,NA,NA,NA,Coolwater,42.70919,-103.0097,
2019,White-Hat,Chadron Creek (Above Discharge),December,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),January,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),February,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),March,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),April,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),May,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),June,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),July,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),August,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),September,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),October,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),November,NA,NA,NA,Coolwater,42.70919,-103.0097,
2020,White-Hat,Chadron Creek (Above Discharge),December,NA,NA,NA,Coolwater,42.70919,-103.0097,
2015,White-Hat,Chadron Creek (Below Discharge),July,NA,NA,NA,Coolwater,42.70951,-103.0094,
2015,White-Hat,Chadron Creek (Below Discharge),August,53.798,62.54989919,70.824,Coolwater,42.70951,-103.0094,
2015,White-Hat,Chadron Creek (Below Discharge),September,51.874,58.84280139,65.167,Coolwater,42.70951,-103.0094,
2015,White-Hat,Chadron Creek (Below Discharge),October,42.548,51.85881452,58.476,Coolwater,42.70951,-103.0094,
2015,White-Hat,Chadron Creek (Below Discharge),November,35.758,43.82494722,52.225,Coolwater,42.70951,-103.0094,
2015,White-Hat,Chadron Creek (Below Discharge),December,33.188,39.07266681,47.289,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),January,35.006,40.07197715,45.669,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),February,35.298,42.87406466,51.193,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),March,36.651,45.72767204,56.079,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),April,40.626,49.57881458,62.105,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),May,43.579,52.82584196,63.604,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),June,45.714,61.22319583,69.427,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),July,55.906,64.49245195,73.947,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),August,55.69,62.57031082,69.471,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),September,50.223,58.70033807,66.6,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),October,45.307,51.59919086,59.315,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),November,37.321,45.83654826,52.509,Coolwater,42.70951,-103.0094,
2016,White-Hat,Chadron Creek (Below Discharge),December,34.027,38.32092507,43.579,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),January,34.027,38.88311458,45.127,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),February,34.713,42.09934263,50.445,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),March,39.407,46.59151647,54.604,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),April,42.433,50.18137882,59.745,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),May,44.946,53.79316767,64.974,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),June,51.94,59.37543472,67.757,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),July,55.472,64.90918179,72.221,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),August,58.368,62.37528663,67.671,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),September,51.062,57.60805556,62.62,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),October,43.306,50.5598498,56.469,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),November,42.433,45.85348736,48.717,Coolwater,42.70951,-103.0094,
2017,White-Hat,Chadron Creek (Below Discharge),December,NA,NA,NA,Coolwater,42.70951,-103.0094,Lost
2018,White-Hat,Chadron Creek (Below Discharge),January,NA,NA,NA,Coolwater,42.70951,-103.0094,
2018,White-Hat,Chadron Creek (Below Discharge),February,NA,NA,NA,Coolwater,42.70951,-103.0094,
2018,White-Hat,Chadron Creek (Below Discharge),March,NA,NA,NA,Coolwater,42.70951,-103.0094,
2018,White-Hat,Chadron Creek (Below Discharge),April,NA,NA,NA,Coolwater,42.70951,-103.0094,
2018,White-Hat,Chadron Creek (Below Discharge),May,NA,NA,NA,Coolwater,42.70951,-103.0094,
2018,White-Hat,Chadron Creek (Below Discharge),June,NA,NA,NA,Coolwater,42.70951,-103.0094,
2018,White-Hat,Chadron Creek (Below Discharge),July,NA,NA,NA,Coolwater,42.70951,-103.0094,
2018,White-Hat,Chadron Creek (Below Discharge),August,NA,NA,NA,Coolwater,42.70951,-103.0094,
2018,White-Hat,Chadron Creek (Below Discharge),September,NA,NA,NA,Coolwater,42.70951,-103.0094,
2018,White-Hat,Chadron Creek (Below Discharge),October,NA,NA,NA,Coolwater,42.70951,-103.0094,
2018,White-Hat,Chadron Creek (Below Discharge),November,NA,NA,NA,Coolwater,42.70951,-103.0094,
2018,White-Hat,Chadron Creek (Below Discharge),December,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),January,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),February,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),March,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),April,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),May,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),June,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),July,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),August,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),September,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),October,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),November,NA,NA,NA,Coolwater,42.70951,-103.0094,
2019,White-Hat,Chadron Creek (Below Discharge),December,NA,NA,NA,Coolwater,42.70951,-103.0094,
2020,White-Hat,Chadron Creek (Below Discharge),January,NA,NA,NA,Coolwater,42.70951,-103.0094,
2020,White-Hat,Chadron Creek (Below Discharge),February,NA,NA,NA,Coolwater,42.70951,-103.0094,
2020,White-Hat,Chadron Creek (Below Discharge),March,NA,NA,NA,Coolwater,42.70951,-103.0094,
2020,White-Hat,Chadron Creek (Below Discharge),April,NA,NA,NA,Coolwater,42.70951,-103.0094,
2020,White-Hat,Chadron Creek (Below Discharge),May,NA,NA,NA,Coolwater,42.70951,-103.0094,
2020,White-Hat,Chadron Creek (Below Discharge),June,NA,NA,NA,Coolwater,42.70951,-103.0094,
2020,White-Hat,Chadron Creek (Below Discharge),July,NA,NA,NA,Coolwater,42.70951,-103.0094,
2020,White-Hat,Chadron Creek (Below Discharge),August,NA,NA,NA,Coolwater,42.70951,-103.0094,
2020,White-Hat,Chadron Creek (Below Discharge),September,NA,NA,NA,Coolwater,42.70951,-103.0094,
2020,White-Hat,Chadron Creek (Below Discharge),October,NA,NA,NA,Coolwater,42.70951,-103.0094,
2020,White-Hat,Chadron Creek (Below Discharge),November,NA,NA,NA,Coolwater,42.70951,-103.0094,
2020,White-Hat,Chadron Creek (Below Discharge),December,NA,NA,NA,Coolwater,42.70951,-103.0094,
2015,White-Hat,Chadron Creek (Exit),July,55.537,62.72910985,69.793,Coolwater,42.71624,-103.0122,
2015,White-Hat,Chadron Creek (Exit),August,52.925,62.06570027,69.793,Coolwater,42.71624,-103.0122,
2015,White-Hat,Chadron Creek (Exit),September,50.995,58.52186667,65.167,Coolwater,42.71624,-103.0122,
2015,White-Hat,Chadron Creek (Exit),October,41.81,51.73248522,58.82,Coolwater,42.71624,-103.0122,
2015,White-Hat,Chadron Creek (Exit),November,34.786,43.55139167,52.75,Coolwater,42.71624,-103.0122,
2015,White-Hat,Chadron Creek (Exit),December,31.892,38.55479582,47.914,Coolwater,42.71624,-103.0122,
2016,White-Hat,Chadron Creek (Exit),January,34.419,39.70161593,46.076,Coolwater,42.71624,-103.0122,
2016,White-Hat,Chadron Creek (Exit),February,34.615,42.68652299,51.721,Coolwater,42.71624,-103.0122,
2016,White-Hat,Chadron Creek (Exit),March,36.313,45.61939684,55.69,Coolwater,42.71624,-103.0122,
2016,White-Hat,Chadron Creek (Exit),April,40.251,49.56847951,62.233,Coolwater,42.71624,-103.0122,
2016,White-Hat,Chadron Creek (Exit),May,43.579,53.30720195,63.518,Coolwater,42.71624,-103.0122,
2016,White-Hat,Chadron Creek (Exit),June,50.18,60.81696493,68.056,Coolwater,42.71624,-103.0122,
2016,White-Hat,Chadron Creek (Exit),July,56.469,63.94081351,72.653,Coolwater,42.71624,-103.0122,
2016,White-Hat,Chadron Creek (Exit),August,54.734,62.12267272,69.427,Coolwater,42.71624,-103.0122,
2016,White-Hat,Chadron Creek (Exit),September,49.87,58.31400558,66.087,Coolwater,42.71624,-103.0122,
2016,White-Hat,Chadron Creek (Exit),October,44.4,51.44485349,60.303,Coolwater,42.71624,-103.0122,
2016,White-Hat,Chadron Creek (Exit),November,35.589,45.2616316,53.035,Coolwater,42.71624,-103.0122,
2016,White-Hat,Chadron Creek (Exit),December,31.942,37.07309677,43.396,Coolwater,42.71624,-103.0122,
2017,White-Hat,Chadron Creek (Exit),January,31.942,37.93516935,45.579,Coolwater,42.71624,-103.0122,
2017,White-Hat,Chadron Creek (Exit),February,32.243,41.37904948,51.809,Coolwater,42.71624,-103.0122,
2017,White-Hat,Chadron Creek (Exit),March,36.986,46.28149093,57.592,Coolwater,42.71624,-103.0122,
2017,White-Hat,Chadron Creek (Exit),April,39.97,50.30215243,61.333,Coolwater,42.71624,-103.0122,
2017,White-Hat,Chadron Creek (Exit),May,45.172,53.71053293,63.819,Coolwater,42.71624,-103.0122,
2017,White-Hat,Chadron Creek (Exit),June,51.984,59.03139792,65.615,Coolwater,42.71624,-103.0122,
2017,White-Hat,Chadron Creek (Exit),July,54.516,64.90746976,72.221,Coolwater,42.71624,-103.0122,
2017,White-Hat,Chadron Creek (Exit),August,56.079,62.08184543,68.999,Coolwater,42.71624,-103.0122,
2017,White-Hat,Chadron Creek (Exit),September,47.602,56.96422882,65.017,Coolwater,42.71624,-103.0122,
2017,White-Hat,Chadron Creek (Exit),October,38.273,48.96176142,56.901,Coolwater,42.71624,-103.0122,
2017,White-Hat,Chadron Creek (Exit),November,38.464,44.5574,50.664,Coolwater,42.71624,-103.0122,
2017,White-Hat,Chadron Creek (Exit),December,31.942,38.9311,48.805,Coolwater,42.71624,-103.0122,
2018,White-Hat,Chadron Creek (Exit),January,31.942,38.709,45.806,Coolwater,42.71624,-103.0122,
2018,White-Hat,Chadron Creek (Exit),February,31.892,37.747,46.571,Coolwater,42.71624,-103.0122,
2018,White-Hat,Chadron Creek (Exit),March,34.516,43.7063,54.604,Coolwater,42.71624,-103.0122,
2018,White-Hat,Chadron Creek (Exit),April,35.152,47.0074,62.791,Coolwater,42.71624,-103.0122,
2018,White-Hat,Chadron Creek (Exit),May,45.036,56.1595,66.772,Coolwater,42.71624,-103.0122,
2018,White-Hat,Chadron Creek (Exit),June,51.501,60.7094,69.6,Coolwater,42.71624,-103.0122,
2018,White-Hat,Chadron Creek (Exit),July,54.082,64.2328,72.567,Coolwater,42.71624,-103.0122,
2018,White-Hat,Chadron Creek (Exit),August,53.69,61.1701,67.885,Coolwater,42.71624,-103.0122,
2018,White-Hat,Chadron Creek (Exit),September,47.557,57.9038,66.6,Coolwater,42.71624,-103.0122,
2018,White-Hat,Chadron Creek (Exit),October,36.12,47.9979,58.195,Coolwater,42.71624,-103.0122,
2018,White-Hat,Chadron Creek (Exit),November,33.879,42.3976,48.493,Coolwater,42.71624,-103.0122,
2018,White-Hat,Chadron Creek (Exit),December,32.443,39.142,44.674,Coolwater,42.71624,-103.0122,
2019,White-Hat,Chadron Creek (Exit),January,31.942,39.2311,46.076,Coolwater,42.71624,-103.0122,
2019,White-Hat,Chadron Creek (Exit),February,31.942,36.4986,46.706,Coolwater,42.71624,-103.0122,
2019,White-Hat,Chadron Creek (Exit),March,NA,NA,NA,Coolwater,42.71624,-103.0122,
2019,White-Hat,Chadron Creek (Exit),April,NA,NA,NA,Coolwater,42.71624,-103.0122,
2019,White-Hat,Chadron Creek (Exit),May,NA,NA,NA,Coolwater,42.71624,-103.0122,
2019,White-Hat,Chadron Creek (Exit),June,NA,NA,NA,Coolwater,42.71624,-103.0122,
2019,White-Hat,Chadron Creek (Exit),July,NA,NA,NA,Coolwater,42.71624,-103.0122,
2019,White-Hat,Chadron Creek (Exit),August,NA,NA,NA,Coolwater,42.71624,-103.0122,
2019,White-Hat,Chadron Creek (Exit),September,NA,NA,NA,Coolwater,42.71624,-103.0122,
2019,White-Hat,Chadron Creek (Exit),October,NA,NA,NA,Coolwater,42.71624,-103.0122,
2019,White-Hat,Chadron Creek (Exit),November,NA,NA,NA,Coolwater,42.71624,-103.0122,
2019,White-Hat,Chadron Creek (Exit),December,NA,NA,NA,Coolwater,42.71624,-103.0122,
2020,White-Hat,Chadron Creek (Exit),January,NA,NA,NA,Coolwater,42.71624,-103.0122,
2020,White-Hat,Chadron Creek (Exit),February,NA,NA,NA,Coolwater,42.71624,-103.0122,
2020,White-Hat,Chadron Creek (Exit),March,NA,NA,NA,Coolwater,42.71624,-103.0122,
2020,White-Hat,Chadron Creek (Exit),April,NA,NA,NA,Coolwater,42.71624,-103.0122,
2020,White-Hat,Chadron Creek (Exit),May,NA,NA,NA,Coolwater,42.71624,-103.0122,
2020,White-Hat,Chadron Creek (Exit),June,NA,NA,NA,Coolwater,42.71624,-103.0122,
2020,White-Hat,Chadron Creek (Exit),July,NA,NA,NA,Coolwater,42.71624,-103.0122,
2020,White-Hat,Chadron Creek (Exit),August,NA,NA,NA,Coolwater,42.71624,-103.0122,
2020,White-Hat,Chadron Creek (Exit),September,NA,NA,NA,Coolwater,42.71624,-103.0122,
2020,White-Hat,Chadron Creek (Exit),October,NA,NA,NA,Coolwater,42.71624,-103.0122,
2020,White-Hat,Chadron Creek (Exit),November,NA,NA,NA,Coolwater,42.71624,-103.0122,
2020,White-Hat,Chadron Creek (Exit),December,NA,NA,NA,Coolwater,42.71624,-103.0122,
